x,$y=1$,$y=0$
64.86486486486487,1.366944215083685e-20,1.0
66.06606606606607,1.6496333052472418e-20,1.0
67.26726726726727,1.9899427768261182e-20,1.0
68.46846846846847,2.3994422766032345e-20,1.0
69.66966966966967,2.891988569666341e-20,1.0
70.87087087087087,3.4841703816721015e-20,1.0
72.07207207207207,4.1958383098055776e-20,1.0
73.27327327327328,5.050735784984982e-20,1.0
74.47447447447448,6.07725001543271e-20,1.0
75.67567567567568,7.309305322412956e-20,1.0
76.87687687687688,8.78742538717018e-20,1.0
78.07807807807808,1.0559995774724161e-19,1.0
79.27927927927928,1.2684763815170995e-19,1.0
80.48048048048048,1.523061965884393e-19,1.0
81.68168168168168,1.8279710256628198e-19,1.0
82.88288288288288,2.192994735991284e-19,1.0
84.08408408408408,2.629798163074742e-19,1.0
85.28528528528528,3.1522727887974693e-19,1.0
86.48648648648648,3.776954172404224e-19,1.0
87.68768768768768,4.523516560094111e-19,1.0
88.88888888888889,5.415358352910267e-19,1.0
90.09009009009009,6.480294808338123e-19,1.0
91.29129129129129,7.751377243776642e-19,1.0
92.49249249249249,9.267861403102848e-19,1.0
93.69369369369369,1.1076351625512865e-18,1.0
94.89489489489489,1.3232152117266772e-18,1.0
96.09609609609609,1.5800862086685706e-18,1.0
97.2972972972973,1.8860257894352113e-18,1.0
98.4984984984985,2.25025128493847e-18,1.0
99.6996996996997,2.6836814029624057e-18,1.0
100.90090090090091,3.1992445728598932e-18,1.0
102.10210210210211,3.812242107921294e-18,1.0
103.30330330330331,4.540775735643506e-18,1.0
104.50450450450451,5.406250674749766e-18,1.0
105.70570570570571,6.433967337943682e-18,1.0
106.90690690690691,7.653816955194584e-18,1.0
108.10810810810811,9.101098995049125e-18,1.0
109.30930930930931,1.0817481270300563e-17,1.0
110.51051051051051,1.2852127117945873e-17,1.0
111.71171171171171,1.5263018121056542e-17,1.0
112.91291291291292,1.811850558375336e-17,1.0
114.11411411411412,2.1499129485912112e-17,1.0
115.31531531531532,2.5499750054018653e-17,1.0
116.51651651651652,3.0232044530059826e-17,1.0
117.71771771771772,3.582743036462783e-17,1.0
118.91891891891892,4.24404860915577e-17,1.0
120.12012012012012,5.0252952776225e-17,1.0
121.32132132132132,5.94784124177823e-17,0.9999999999999999
122.52252252252252,7.036775531468127e-17,0.9999999999999999
123.72372372372372,8.321556650355026e-17,0.9999999999999999
124.92492492492492,9.83675823345794e-17,0.9999999999999999
126.12612612612612,1.1622939248926491e-16,0.9999999999999999
127.32732732732732,1.3727659078140524e-16,0.9999999999999999
128.52852852852854,1.6206661048668557e-16,0.9999999999999999
129.72972972972974,1.9125251738246674e-16,0.9999999999999998
130.93093093093094,2.2559907690734086e-16,0.9999999999999998
132.13213213213214,2.6600146174066746e-16,0.9999999999999998
133.33333333333334,3.135070236542198e-16,0.9999999999999997
134.53453453453454,3.693406198440241e-16,0.9999999999999997
135.73573573573574,4.349340604196758e-16,0.9999999999999996
136.93693693693695,5.11960331807517e-16,0.9999999999999994
138.13813813813815,6.023733522254495e-16,0.9999999999999994
139.33933933933935,7.084541320668939e-16,0.9999999999999993
140.54054054054055,8.328643462243546e-16,0.9999999999999992
141.74174174174175,9.787084796402338e-16,0.999999999999999
142.94294294294295,1.149605884604428e-15,0.9999999999999989
144.14414414414415,1.3497742918446262e-15,0.9999999999999987
145.34534534534535,1.5841265510582715e-15,0.9999999999999984
146.54654654654655,1.8583826445249787e-15,0.9999999999999982
147.74774774774775,2.179199324720265e-15,0.9999999999999979
148.94894894894895,2.5543200790093142e-15,0.9999999999999973
150.15015015015015,2.9927485278799184e-15,0.999999999999997
151.35135135135135,3.504948824995575e-15,0.9999999999999964
152.55255255255256,4.103077155807502e-15,0.9999999999999959
153.75375375375376,4.801249035868233e-15,0.9999999999999952
154.95495495495496,5.615847800897845e-15,0.9999999999999944
156.15615615615616,6.565880470046474e-15,0.9999999999999934
157.35735735735736,7.673388065250154e-15,0.9999999999999923
158.55855855855856,8.963918498469181e-15,0.999999999999991
159.75975975975976,1.0467071312346642e-14,0.9999999999999896
160.96096096096096,1.2217124898130926e-14,0.9999999999999878
162.16216216216216,1.4253758339857066e-14,0.9999999999999857
